;seq_name;dr_match_name;replicate;dna_type;seq_depth;plate.id;year;season;sampling.date;lat;long;sample.type.year;site.name;sample.name;series;campaign;julian.day;sample.type;Season;LibrarySize
HW24D;HW24D;HW24;1;DNA;Shallow;5;2016;Spring;2016-06-10;51.21285;-63.92264;Hyporheic;NA;HW24;NA;1;162;Hyporheic;Spring;16582
HW24R;HW24R;HW24;1;cDNA;Shallow;6;2016;Spring;2016-06-10;51.21285;-63.92264;Hyporheic;NA;HW24;NA;1;162;Hyporheic;Spring;51131
HW25D;HW25D;HW25;1;DNA;Shallow;5;2016;Spring;2016-06-10;51.20954;-63.42093;Hyporheic;NA;HW25;NA;1;162;Hyporheic;Spring;36801
HW25R;HW25R;HW25;1;cDNA;Shallow;6;2016;Spring;2016-06-10;51.20954;-63.42093;Hyporheic;NA;HW25;NA;1;162;Hyporheic;Spring;33220
HW26D;HW26D;HW26;1;DNA;Shallow;5;2016;Spring;2016-06-11;51.36657;-63.87721;Hyporheic;NA;HW26;NA;1;163;Hyporheic;Spring;38677
HW26R;HW26R;HW26;1;cDNA;Shallow;6;2016;Spring;2016-06-11;51.36657;-63.87721;Hyporheic;NA;HW26;NA;1;163;Hyporheic;Spring;9009
HW27D;HW27D;HW27;1;DNA;Shallow;5;2016;Spring;2016-06-11;51.36616;-63.87573;Hyporheic;NA;HW27;NA;1;163;Hyporheic;Spring;47111
HW27R;HW27R;HW27;1;cDNA;Shallow;6;2016;Spring;2016-06-11;51.36616;-63.87573;Hyporheic;NA;HW27;NA;1;163;Hyporheic;Spring;27306
HW28D;HW28D;HW28;1;DNA;Shallow;6;2016;Spring;2016-06-12;51.20215;-63.92329;Hyporheic;NA;HW28;NA;1;164;Hyporheic;Spring;47104
HW28R;HW28R;HW28;1;cDNA;Shallow;6;2016;Spring;2016-06-12;51.20215;-63.92329;Hyporheic;NA;HW28;NA;1;164;Hyporheic;Spring;7493
HW30D;HW30D;HW30;1;DNA;Shallow;6;2016;Spring;2016-06-12;51.18623;-63.93188;Hyporheic;NA;HW30;NA;1;164;Hyporheic;Spring;25285
HW30R;HW30R;HW30;1;cDNA;Shallow;6;2016;Spring;2016-06-12;51.18623;-63.93188;Hyporheic;NA;HW30;NA;1;164;Hyporheic;Spring;17898
HW31D;HW31D;HW31;1;DNA;Shallow;6;2016;Spring;2016-06-15;51.30344;-63.86294;Hyporheic;NA;HW31;NA;1;167;Hyporheic;Spring;32801
HW31R;HW31R;HW31;1;cDNA;Shallow;7;2016;Spring;2016-06-15;51.30344;-63.86294;Hyporheic;NA;HW31;NA;1;167;Hyporheic;Spring;24107
HW32D;HW32D;HW32;1;DNA;Shallow;5;2016;Spring;2016-06-13;51.30254;-63.87091;Hyporheic;NA;HW32;NA;1;165;Hyporheic;Spring;35287
HW32R;HW32R;HW32;1;cDNA;Shallow;7;2016;Spring;2016-06-13;51.30254;-63.87091;Hyporheic;NA;HW32;NA;1;165;Hyporheic;Spring;27324
HW33D;HW33D;HW33;1;DNA;Shallow;5;2016;Summer;2016-08-04;51.36618;-63.87583;Hyporheic;NA;HW33;NA;2;217;Hyporheic;Summer;44941
HW34D;HW34D;HW34;1;DNA;Shallow;5;2016;Summer;2016-08-04;51.36654;-63.87719;Hyporheic;NA;HW34;NA;2;217;Hyporheic;Summer;22920
HW34R;HW34R;HW34;1;cDNA;Shallow;7;2016;Summer;2016-08-04;51.36654;-63.87719;Hyporheic;NA;HW34;NA;2;217;Hyporheic;Summer;47625
HW35D;HW35D;HW35;1;DNA;Shallow;5;2016;Summer;2016-08-05;51.21284;-63.92261;Hyporheic;NA;HW35;NA;2;218;Hyporheic;Summer;33466
HW35R;HW35R;HW35;1;cDNA;Shallow;7;2016;Summer;2016-08-05;51.21284;-63.92261;Hyporheic;NA;HW35;NA;2;218;Hyporheic;Summer;56577
HW36D;HW36D;HW36;1;DNA;Shallow;5;2016;Summer;2016-08-05;51.2095;-63.92092;Hyporheic;NA;HW36;NA;2;218;Hyporheic;Summer;40447
HW36R;HW36R;HW36;1;cDNA;Shallow;7;2016;Summer;2016-08-05;51.2095;-63.92092;Hyporheic;NA;HW36;NA;2;218;Hyporheic;Summer;25595
