"domain";"phylum";"class";"order";"family";"genus";"species"
"OTU_1";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Polynucleobacter";NA
"OTU_10";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";NA;NA
"OTU_10001";"Bacteria";"Acidobacteriota";"Acidobacteriae";"UBA7541";"UBA7541";NA;NA
"OTU_10003";"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"VadinHA17";"LD21";NA
"OTU_10004";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";"Mucilaginibacter";NA
"OTU_10006";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"OTU_10007";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Novosphingobium";NA
"OTU_10008";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";"UBA11358";NA
"OTU_1001";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";"RS62";NA
"OTU_10012";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"OTU_10013";"Bacteria";"Bdellovibrionota";"Bdellovibrionia_A";"UBA1018";"UBA1018";NA;NA
"OTU_10014";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"OTU_10015";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";"Paludisphaera";NA
"OTU_10016";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";NA;NA
"OTU_1002";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";"VBCK01";NA
"OTU_10021";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Methylococcales";"Methylomonadaceae";"UBA4132";NA
"OTU_10030";"Bacteria";"Desulfobacterota";"Desulfomonilia";"Desulfomonilales";"Desulfomonilaceae";"Desulfomonile";NA
"OTU_10042";"Bacteria";"Gemmatimonadota";"Gemmatimonadetes";"Gemmatimonadales";"GWC2-71-9";"Palsa-1233";NA
"OTU_10046";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";NA;NA
"OTU_10050";"Bacteria";"Patescibacteria";"Paceibacteria";"UBA6257";"2-01-FULL-56-20";"SURF-56";NA
"OTU_10051";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_10053";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";"UBA11358";NA
"OTU_10060";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Herbaspirillum";NA
"OTU_10061";"Bacteria";"Verrucomicrobiota_A";"Chlamydiia";"Parachlamydiales";"Parachlamydiaceae";NA;NA
"OTU_1007";"Bacteria";"Eremiobacterota";"Eremiobacteria";"UBP12";"UBA5184";"Fen-1528";NA
"OTU_10072";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"OTU_10073";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";NA;NA
"OTU_10083";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Chthoniobacterales";"UBA10450";NA;NA
"OTU_10089";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Bryobacterales";"Bryobacteraceae";NA;NA
"OTU_10091";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_10093";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";NA;NA
"OTU_10098";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Chthoniobacterales";"Chthoniobacteraceae";"Chthoniobacter";NA
"OTU_1010";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA;NA
"OTU_10105";"Bacteria";"Firmicutes_B";"Desulfitobacteriia";"Desulfitobacteriales";"Desulfitobacteriaceae";"Desulfosporosinus";NA
"OTU_10106";"Bacteria";"Gemmatimonadota";"Gemmatimonadetes";"Gemmatimonadales";"GWC2-71-9";NA;NA
"OTU_10108";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Opitutaceae";NA;NA
"OTU_10113";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Koribacteraceae";NA;NA
"OTU_10114";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Gaiellales";"Gaiellaceae";NA;NA
"OTU_10115";"Bacteria";"Patescibacteria";"Paceibacteria";"UBA9983";"UBA11359";NA;NA
"OTU_10116";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Opitutaceae";"Opitutus";NA
"OTU_10123";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Polyangiaceae";NA;NA
"OTU_10125";"Bacteria";"Patescibacteria";"ABY1";"BM507";"UBA12465";NA;NA
"OTU_10127";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"UBA9655";"UBA9655";"UBA9655";NA
"OTU_1013";"Bacteria";"Acidobacteriota";"Acidobacteriae";"UBA7541";"UBA7541";NA;NA
"OTU_10131";"Bacteria";"Acidobacteriota";"Blastocatellia";"Pyrinomonadales";"Pyrinomonadaceae";NA;NA
"OTU_10132";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";NA;NA
"OTU_10133";"Bacteria";"Bacteroidota";"UBA10030";"UBA10030";"UBA6906";NA;NA
"OTU_10134";"Bacteria";"Bdellovibrionota";"Bdellovibrionia_A";"UBA1018";"UBA1018";NA;NA
"OTU_10135";"Bacteria";"Chloroflexota";"Anaerolineae";"Anaerolineales";"Anaerolineaceae";NA;NA
"OTU_10137";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";"Acidocella";NA
"OTU_10147";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"IMCC26256";"PALSA-555";"PALSA-555";NA
"OTU_10148";"Bacteria";"Dormibacterota";"Dormibacteria";"Dormibacterales";"Dormibacteraceae";NA;NA
"OTU_10149";"Bacteria";"Planctomycetota";"Planctomycetes";"Planctomycetales";"Planctomycetaceae";"SXKJ01";NA
"OTU_1015";"Bacteria";"Actinobacteriota";"Actinomycetia";"Mycobacteriales";"Mycobacteriaceae";"Mycobacterium";NA
"OTU_10151";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";NA;NA
"OTU_10152";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";"Pedobacter";NA
"OTU_10153";"Bacteria";"Chloroflexota";"Dehalococcoidia";"UBA2979";"UBA2979";NA;NA
"OTU_10154";"Bacteria";"Nitrospirota";"Nitrospiria";"Nitrospirales";"NS-4";"SCTG01";NA
"OTU_10165";"Bacteria";"Verrucomicrobiota";"Lentisphaeria";"Victivallales";"GWF2-50-93";"GWF2-50-93";NA
"OTU_10169";"Bacteria";"Planctomycetota";"Planctomycetes";"Pirellulales";"Pirellulaceae";"Pirellula_B";NA
"OTU_1017";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_10179";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Chthoniobacterales";"UBA6821";"UBA6821";NA
"OTU_1018";"Bacteria";"Gemmatimonadota";"Gemmatimonadetes";"Gemmatimonadales";"Gemmatimonadaceae";"UBA4720";NA
"OTU_10189";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_1019";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_10190";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";"Methylobacterium";NA
"OTU_10191";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Devosiaceae";"Devosia";NA
"OTU_10192";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_10195";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";NA;NA
"OTU_10199";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Polyangiaceae";NA;NA
"OTU_10200";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Polyangiaceae";NA;NA
"OTU_10201";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"OTU_10202";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_10203";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";NA;NA
"OTU_10208";"Bacteria";"Bacteroidota";"Bacteroidia";"AKYH767";"2-12-FULL-35-15";"2-12-FULL-35-15";NA
"OTU_10209";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"OTU_10211";"Bacteria";"Bdellovibrionota";"Bdellovibrionia";"Bdellovibrionales";"Bdellovibrionaceae";"21-14-0-10-47-8";NA
"OTU_10220";"Bacteria";"Acidobacteriota";"Blastocatellia";"Pyrinomonadales";"Pyrinomonadaceae";NA;NA
"OTU_10221";"Bacteria";"Elusimicrobiota";"Elusimicrobia";"2-01-FULL-59-12";"2-01-FULL-59-12";"2-01-FULL-59-12";NA
